Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
Amy Adams,2402900000.0,30,80100000.0,Batman v Superman,330400000.0
Ben Affleck,2517800000.0,39,64599999.99999999,Batman v Superman,330400000.0
Casey Affleck,922800000.0,24,38400000.0,Interstellar,188000000.0
Dianna Agron,132199999.99999999,5,26400000.0,I Am Number Four,55100000.0
Jessica Alba,952300000.0,24,39700000.0,Fantastic Four (2005),154700000.0
Alan Alda,753000000.0,22,34200000.0,What Women Want,182800000.0
Mahershala Ali,1399700000.0,13,107700000.0,Mockingjay Part 1,337100000.0
Joan Allen,854500000.0,25,34200000.0,The Bourne Ultimatum,227500000.0
Tim Allen,1763000000.0,20,88100000.0,Toy Story 3,415000000.0
Woody Allen,461300000.0,27,17100000.0,Antz,90800000.0
Mathieu Amalric,300700000.0,13,23100000.0,Quantum of Solace,168400000.0
Gillian Anderson,180300000.0,15,12000000.0,X-Files,83900000.0
Julie Andrews,929000000.0,14,66400000.00000001,Despicable Me 3,264600000.00000003
Jennifer Aniston,1627100000.0,32,50800000.0,Bruce Almighty,242800000.0
Aziz Ansari,168600000.0,3,56200000.0,Epic,107500000.0
Christina Applegate,1117100000.0,21,53200000.0,Alvin and the Chipmunks 2,219600000.0
Tom Arnold,415900000.0,19,21900000.0,True Lies,146300000.0
Rosanna Arquette,396900000.0,21,18900000.0,Pulp Fiction,107900000.0
Gemma Arterton,517400000.0,14,37000000.0,Quantum of Solace,168400000.0
Kevin Bacon,1519200000.0,48,31700000.0,Apollo 13,173800000.0
Penn Badgley,134600000.0,6,22400000.0,Easy A,58400000.0
Alec Baldwin,2708000000.0,56,48400000.0,Mission: Impossible 6,220200000.0
Christian Bale,2293900000.0,39,58800000.0,The Dark Knight,535200000.00000006
Eric Bana,1068300000.0,17,62800000.0,Star Trek,257700000.0
Anne Bancroft,548000000.0,28,19600000.0,The Graduate,104900000.0
Antonio Banderas,2386400000.0,43,55500000.0,Shrek 2,441200000.0
Elizabeth Banks,3043100000.0,39,78000000.0,Catching Fire,424700000.0
Javier Bardem,725000000.0,19,38200000.0,Skyfall,304400000.0
Ben Barnes,287700000.0,5,57500000.0,The Chronicles of Narnia: Prince Caspian,141600000.0
Drew Barrymore,1614600000.0,36,44900000.0,E.T.,435100000.0
Justin Bartha,1134000000.0,12,94500000.0,The Hangover,277300000.0
Jay Baruchel,1234400000.0,19,65000000.0,How to Train Your Dragon,217600000.0
Kim Basinger,1185500000.0,36,32900000.0,Batman,251200000.0
Angela Bassett,1801400000.0,27,66700000.0,Black Panther,700100000.0
Jason Bateman,1961100000.0,32,61300000.0,Zootopia,341300000.0
Kathy Bates,2355800000.0,49,48100000.0,Titanic,659400000.0
Dave Bautista,1758600000.0,10,175900000.0,Avengers: Infinity War,678800000.0
Sean Bean,1641800000.0,32,51300000.0,Fellowship of the Ring,315500000.0
Warren Beatty,312200000.0,9,34700000.0,Dick Tracy,103700000.0
Kate Beckinsale,1046099999.9999999,26,40200000.0,Pearl Harbor,198500000.0
Ashley Bell,56200000.0,2,28100000.0,The Last Exorcism,41000000.0
Jamie Bell,573900000.0,20,28700000.0,King Kong,218100000.0
Kristen Bell,1035200000.0,19,54500000.0,Frozen,400700000.0
Lake Bell,365500000.0,10,36500000.0,It's Complicated,112700000.0
Maria Bello,988300000.0,30,32900000.0,Grown Ups,162000000.0
Monica Bellucci,1027900000.0000001,16,64200000.0,Passion of the Christ,370800000.0
Roberto Benigni,88900000.0,11,8100000.0,Life Is Beautiful,57600000.0
Annette Bening,1035800000.0,31,33400000.0,Captain Marvel,421500000.0
Melissa Benoist,50500000.0,2,25300000.0,The Longest Ride,37400000.0
Peter Berg,229800000.0,5,46000000.0,Collateral,101000000.0
Gael Garcia Bernal,317000000.0,24,13200000.0,Coco,209700000.0
Halle Berry,1988100000.0,32,62100000.0,X-Men: The Last Stand,234400000.0
Paul Bettany,2605800000.0,25,104200000.0,Avengers: Infinity War,678800000.0
Justin Bieber,79200000.0,2,39600000.0,Justin Bieber,73000000.0
Jessica Biel,773000000.0,25,30900000.0,I Now Pronounce You Chuck and Larry,120100000.0
Rachel Bilson,95300000.0,5,19100000.0,Jumper,80200000.0
Mike Binder,19100000.0,2,9500000.0,The Upside of Anger,18800000.0
Brad Bird,608600000.0,1,608600000.0,Incredibles 2,608600000.0
Jack Black,2091100000.0,27,77400000.0,Jumanji (2017),404600000.0
Lucas Black,730200000.0,12,60800000.0,Furious 7,353000000.0
Macon Blair,9400000.0,3,3100000.0,The Florida Project,5900000.0
Cate Blanchett,3487700000.0,45,77500000.0,Return of the King,377800000.0
Nikki Blonsky,118900000.0,3,39600000.0,Hairspray (2007),118900000.0
Orlando Bloom,2988400000.0,18,166000000.0,Dead Man's Chest,423300000.0
Emily Blunt,1470200000.0,29,50700000.0,A Quiet Place,188000000.0
Chadwick Boseman,2596100000.0,8,324500000.0,Black Panther,700100000.0
Kate Bosworth,529299999.99999994,19,27900000.0,Superman Returns,200100000.0
Sofia Boutella,426600000.0,6,71100000.0,Star Trek Beyond,158800000.0
John Boyega,1655000000.0,6,275800000.0,Star Wars: The Force Awakens,936700000.0
Luke Bracey,171000000.0,5,34200000.0,Hacksaw Ridge,67200000.0
Zach Braff,281700000.0,6,47000000.0,Oz The Great and Powerful,234900000.0
Kenneth Branagh,919200000.0,19,48400000.0,Harry Potter / Chamber of Secrets,262200000.0
Russell Brand,1187400000.0,10,118700000.0,Despicable Me 2,368100000.0
Marlon Brando,552800000.0,12,46100000.0,The Godfather,135000000.0
Benjamin Bratt,1053099999.9999999,21,50100000.0,Despicable Me 2,368100000.0
Ewen Bremner,1161800000.0,16,72600000.0,Wonder Woman,412600000.0
Abigail Breslin,1103900000.0,21,52600000.0,Signs,228000000.0
Jordana Brewster,1157800000.0,7,165400000.0,Furious 7,353000000.0
Chris 'Ludacris' Bridges,1513500000.0,14,108100000.0,Furious 7,353000000.0
Jeff Bridges,1804700000.0,54,33400000.0,Iron Man,318400000.0
Jim Broadbent,1156200000.0,47,24600000.0,Harry Potter 6,302100000.0
Matthew Broderick,1397000000.0,36,38800000.0,Lion King,422800000.0
Adam Brody,496000000.0,18,27600000.0,Mr. & Mrs. Smith,186300000.0
Adrien Brody,603400000.0,33,18300000.0,King Kong,218100000.0
Josh Brolin,3314700000.0,40,82900000.0,Avengers: Infinity War,678800000.0
Albert Brooks,1208300000.0,21,57500000.0,Finding Dory,486300000.0
Pierce Brosnan,1611000000.0,40,40300000.0,Mrs. Doubtfire,219200000.0
Chris Brown,269400000.0,6,44900000.0,Think Like a Man,91500000.0
Emily Browning,238900000.0,11,21700000.0,Lemony Snicket,118600000.0
Sandra Bullock,2602800000.0,36,72300000.0,Minions,336000000.0
Billy Burke,1766500000.0,16,110400000.0,The Twilight Saga: Eclipse,300500000.0
Edward Burns,370300000.0,13,28500000.0,Saving Private Ryan,216500000.0
Ty Burrell,444900000.0,10,44500000.0,The Incredible Hulk,134800000.0
Gerard Butler,1655400000.0,32,51700000.0,How to Train Your Dragon,217600000.0
Amanda Bynes,435600000.0,7,62200000.0,Robots,128199999.99999999
Rose Byrne,1641100000.0,28,58600000.0,Bridesmaids,169100000.0
Nicolas Cage,2408300000.0,58,41500000.0,National Treasure: Book of Secrets,220000000.0
Michael Caine,3440100000.0,61,56400000.0,The Dark Knight,535200000.00000006
Neve Campbell,501200000.0,13,38600000.0,Scream,103000000.0
Steve Carell,3054100000.0,32,95400000.0,Despicable Me 2,368100000.0
Jim Carrey,2545400000.0,28,90900000.0,The Grinch,260000000.0
Helena Bonham Carter,2966700000.0,38,78100000.0,Harry Potter / Deathly Hallows (P2),381200000.0
Dana Carvey,241600000.0,7,34500000.0,Wayne's World,121700000.0
Katie Cassidy,150400000.0,4,37600000.0,Nightmare on Elm Street,63100000.0
James Caviezel,748500000.0,22,34000000.0,Passion of the Christ,370800000.0
Henry Cavill,1317400000.0,12,109800000.0,Batman v Superman,330400000.0
Cedric the Entertainer,1512700000.0,29,52200000.0,Madagascar 3,216400000.0
John Cena,606300000.0,10,60600000.0,Bumblebee,127200000.0
Michael Cera,797500000.0,18,44300000.0,The LEGO Batman Movie,175800000.0
Jackie Chan,1738500000.0,33,52700000.0,Rush Hour 2,226200000.0
Jay Chandrasekhar,30700000.0,2,15300000.0,Super Troopers 2,30600000.0
