Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
3000000.0,4400000.0,Flash of Genius,Marc Abraham,2,6100000.0,5cbf57e7f1b3f84eb09ba402
43500000.0,83500000.0,Airplane!,Jim Abrahams,8,348000000.0,5cbf57e7f1b3f84eb09ba403
336800000.0,936700000.0,Star Wars: The Force Awakens,J.J. Abrams,5,1684200000.0,5cbf57e7f1b3f84eb09ba404
192500000.0,441200000.0,Shrek 2,Andrew Adamson,6,1154700000.0,5cbf57e7f1b3f84eb09ba405
5800000.0,5800000.0,Bordello of Blood,Gilbert Adler,1,5800000.0,5cbf57e7f1b3f84eb09ba406
64700000.0,136000000.0,Argo,Ben Affleck,4,258899999.99999997,5cbf57e7f1b3f84eb09ba407
409000.0,409000.0,I'm Still Here,Casey Affleck,1,409000.0,5cbf57e7f1b3f84eb09ba408
30800000.0,37300000.0,Jumping the Broom,Salim Akil,2,61700000.0,5cbf57e7f1b3f84eb09ba409
11000000.0,24100000.0,"Tinker, Tailor, Soldier, Spy",Tomas Alfredson,3,33000000.0,5cbf57e7f1b3f84eb09ba40a
88300.0,88300.0,Crazy on the Outside,Tim Allen,1,88300.0,5cbf57e7f1b3f84eb09ba40b
13400000.0,56800000.0,Midnight in Paris,Woody Allen,44,591400000.0,5cbf57e7f1b3f84eb09ba40c
22400000.0,26200000.0,Ramona and Beezus,Elizabeth Allen (II),2,44800000.0,5cbf57e7f1b3f84eb09ba40d
4300000.0,12900000.0,Volver,Pedro Almodovar,15,64700000.0,5cbf57e7f1b3f84eb09ba40e
13900000.0,81600000.0,M.A.S.H.,Robert Altman,20,277700000.0,5cbf57e7f1b3f84eb09ba40f
52800000.0,89200000.0,Don't Breathe,Fede Alvarez,3,158300000.0,5cbf57e7f1b3f84eb09ba410
11800000.0,13300000.0,Case 39,Christian Alvart,2,23600000.0,5cbf57e7f1b3f84eb09ba411
19900000.0,96500000.0,The Others,Alejandro Amenabar,5,99700000.0,5cbf57e7f1b3f84eb09ba412
507000.0,507000.0,The Two Faces of January,Hossein Amini,1,507000.0,5cbf57e7f1b3f84eb09ba413
60200000.0,150400000.0,Daddy's Home,Sean Anders,7,421600000.0,5cbf57e7f1b3f84eb09ba414
8500000.0,51900000.0,The Call,Brad Anderson,7,59600000.0,5cbf57e7f1b3f84eb09ba415
